x
8.5
8.3
9.7
8.9
8.5
8.7
9.1
8.9
9
8.1
8.8
8.1
8.8
9.6
8.9
9.1
7.4
8.8
8.2
8.7
8.2
9
8.5
8.4
9.3
8.8
8.5
8.9
8.5
8.2
8.6
8.7
8.5
8.2
8.4
7
8.5
7.7
8.6
8.1
8.7
7.9
7.9
8.2
8
8.7
8.6
8.3
7.6
9.3
8.6
8
8.9
8.8
9.4
9.3
8.9
8.7
8.5
8.7
8.8
9
9
8.6
9.4
8.4
8.9
9.3
8.7
9.1
9.4
8.6
9.1
8.6
9.3
8.5
9.4
10.2
8.5
8.9
9
8.9
9.5
9.1
9.3
9
9
9.1
9.4
9.8
9.7
9.4
9.3
9.4
9.9
9.6
9.4
9.4
9.4
10.1
9.8
10.5
9.5
9.4
10
10.6
9.4
9.2
9.1
10.1
9.4
9.8
9.6
10.2
9.8
10.6
9.8
10
9.1
8.9
9.9
9.2
9.7
9.8
9.8
9.4
9.8
10.2
9.2
9.8
9.4
10.2
9.8
9.4
9.7
8.9
9.7
9.7
10
10.3
9.9
9.3
9.1
9.6
10.2
10.7
10.6
10.1
10.1
9.9
10.1
10.9
9.9
11
10.8
10.9
10.7
10.3
11
10.8
11
